Title,Author,Publish Date,Publisher,Description,url
Why Courtney B. Vance Chose a Chevy Bolt Over a Tesla,Chris Kornelis,2018-04-10T18:53:05Z,The Wall Street Journal,"The comforting ‘Isle of Dogs’ narrator on riding a folding bike when cabs refused to pick him up, his 1,100-page Kindle reads and why he wishes Apple was a little less pushy.",https://www.wsj.com/articles/why-courtney-b-vance-chose-a-chevy-bolt-over-a-tesla-1523386384
"WSJ City PM: Zuckerberg Faces Congress, Russian Assets Fall Further, Volkswagen Expected to Replace CEO",Mischa Frankl-Duval,2018-04-10T15:26:38Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY US lawmakers…",https://blogs.wsj.com/moneybeat/2018/04/10/wsj-city-pm-zuckerberg-faces-congress-russian-assets-fall-further-volskwagen-considers-change-at-the-top/
"Stocks to Watch: Facebook, Amazon, Apple, Exxon Mobil, Boeing, Nvidia, Netflix, VeriFone, Monsanto",Amrith Ramkumar,2018-04-10T13:33:12Z,The Wall Street Journal,"Among the companies with shares expected to trade actively in Tuesday's session are Facebook, Amazon.com, Apple, Exxon Mobil, Boeing and Nvidia.",https://blogs.wsj.com/moneybeat/2018/04/10/stocks-to-watch-facebook-amazon-apple-exxon-mobil-boeing-nvidia-netflix-verifone-monsanto/
Global Stocks Extend Rally on Easing Trade Fears,David Hodari,2018-04-10T10:54:38Z,The Wall Street Journal,"Global stocks’ rally intensified, after remarks from Chinese President Xi Jinping soothed the trade-war fears that have roiled markets in recent weeks.",https://www.wsj.com/articles/asia-pacific-stocks-fall-on-late-session-wall-street-selling-1523324208
The Wall Street Journal: Apple says its buildings are now 100% powered by renewable energy,"Tripp Mickle , Timothy Puko",2018-04-09T21:54:10Z,The Wall Street Journal,"Apple Inc. said on Monday that it has achieved a decade-old goal of having its facilities worldwide powered exclusively by renewable energy, an achievement that will shift the company’s sustainability efforts to its supply chain, where about 10% of suppliers …",https://www.wsj.com/articles/apple-inc-says-facilities-now-using-100-renewable-power-1523309426
Check Your iPhone Battery's Health---and if You've Been Throttled,David Pierce,2018-04-09T16:16:54Z,The Wall Street Journal,Apple has rolled out a new tool to inform iPhone users about the health and longevity of their phones. The move comes months after the company came under fire for slowing older models without disclosing the practice to users.,https://www.wsj.com/articles/check-your-iphone-batterys-healthand-if-youve-been-throttled-1523289684
Hedge Funds Turn Bearish on Tech Giants,Alexander Osipovich,2018-04-09T15:50:03Z,The Wall Street Journal,Big traders are placing pessimistic bets on the technology sector -- in contrast to retail investors who remain enamored.,https://blogs.wsj.com/moneybeat/2018/04/09/hedge-funds-turn-bearish-on-tech-giants/
"WSJ City PM: Deutsche’s New Dynamic, Europe’s Growing Debt Pile, How Big Tech Is Bracing for Privacy Rules",Mischa Frankl-Duval,2018-04-09T15:07:45Z,The Wall Street Journal,"Good afternoon from the WSJ City desks in London. WSJ City is the app that delivers concise, smart news on business and finance for mobile. Download for iPhone or Android. Here’s essential reading on today’s developments. MUST READS FROM WSJ CITY Deutsche Ban…",https://blogs.wsj.com/moneybeat/2018/04/09/wsj-city-pm-deutsches-destiny-investors-keeping-faith-in-tech-stocks-tighter-regulation-will-go-beyond-facebook/
How Saudi Arabia's Tiny Exchange Is Preparing to Host the World's Biggest IPO - Wall Street Journal,Maureen Farrell,2018-04-09T14:52:00Z,The Wall Street Journal,"ARY NEWS How Saudi Arabia's Tiny Exchange Is Preparing to Host the World's Biggest IPO Wall Street Journal Saudi Arabia's Tadawul is the only confirmed listing exchange for the giant oil company known as Aramco. Above, a Saudi investor walks past the stock-ex…",https://www.wsj.com/articles/how-saudi-arabias-tiny-exchange-is-preparing-to-host-the-worlds-biggest-ipo-1523285578
"Podcasting's New World: Groupies, Stage Fright and Sold-Out Shows",John Jurgensen,2018-04-09T13:17:58Z,The Wall Street Journal,"A niche industry only a few years ago, podcasts are the new rock stars of the touring circuit.",https://www.wsj.com/articles/podcastings-new-world-groupies-stage-fright-and-sold-out-shows-1523279876
Chairman of Alibaba Affiliate Ant Financial Steps Down,Chuin-Wei Yap,2018-04-09T09:39:13Z,The Wall Street Journal,"Lucy Peng is being replaced by Eric Jing, the private financial-technology company’s chief executive officer, who is taking on the additional chairman role with immediate effect.",https://www.wsj.com/articles/chairman-of-alibaba-affiliate-ant-financial-steps-down-1523266283
Mark Zuckerberg's Mission: Stay Cool in a Very Hot Seat,Betsy Morris,2018-04-08T23:46:32Z,The Wall Street Journal,Facebook CEO Mark Zuckerberg faces lawmakers this week in what are likely to be contentious hearings about privacy that will be a broader test of how effectively he can guide his social-media giant.,https://www.wsj.com/articles/mark-zuckerbergs-washington-mission-stay-cool-in-a-very-hot-seat-1523230451
A Better Way to Make Facebook Pay,Andy Kessler,2018-04-08T17:44:45Z,The Wall Street Journal,A simple law—‘Users own their private data’—would make social media great.,https://www.wsj.com/articles/a-better-way-to-make-facebook-pay-1523209483
APPLEAMAZONGOOGLE Brace for Privacy Regulations...,Christopher Mims,2018-04-08T12:16:26Z,The Wall Street Journal,"After Facebook’s Cambridge Analytica scandal, cries for consumer protection have grown louder, and Facebook isn’t the only tech giant expected to be affected.",https://www.wsj.com/articles/apple-amazon-and-google-also-are-bracing-for-privacy-regulations-1523188801
"For Many Investors, the Tech Rout Is 'Nothing to Lose Sleep Over' - Wall Street Journal",Akane Otani,2018-04-08T11:05:11Z,The Wall Street Journal,"Wall Street Journal For Many Investors, the Tech Rout Is 'Nothing to Lose Sleep Over' Wall Street Journal based contractor Michael Chu, 34, shrugged off a $2,700 loss in his tech -heavy index-fund holdings, betting the technology selloff was “just one of thos…",https://www.wsj.com/articles/for-many-investors-the-tech-rout-is-nothing-to-lose-sleep-over-1523185201
"A Ballerina's Blistering, Not-for-Beginners Routine",Pia Catton,2018-04-07T11:00:02Z,The Wall Street Journal,"Kathryn Boren of American Ballet Theatre needed to get stronger, so she built a demanding fitness regimen around extreme balance exercises.",https://www.wsj.com/articles/a-ballerinas-blistering-not-for-beginners-routine-1523098800
US Prepares to Distribute H-1B Visas Without Trump-Demanded Changes - Wall Street Journal,Laura Meckler,2018-04-06T23:11:00Z,The Wall Street Journal,"Financial Express US Prepares to Distribute H-1B Visas Without Trump-Demanded Changes Wall Street Journal People participated in a ceremony to become American citizens during a U.S. Citizenship & Immigration Services naturalization ceremony in Hialeah, Fla., …",https://www.wsj.com/articles/u-s-prepares-to-distribute-h-1b-visas-without-trump-demanded-changes-1523056302
Can Big Tech Stocks Grow Without Limits?,Jason Zweig,2018-04-06T16:30:57Z,The Wall Street Journal,"The more flippant the investing cliché, the more you should question it. Consider “the bigger they are, the harder they fall.”",https://blogs.wsj.com/moneybeat/2018/04/06/can-big-tech-stocks-grow-without-limits/
