Title,Author,Publish Date,Publisher,Description,url,TitleScore
Big Oil's New Favorite Toy: Supercomputers,Sarah Kent,2018-04-10T11:00:05Z,The Wall Street Journal,"Oil companies such as BP and Eni are pouring hundreds of millions of dollars into supercomputers, part of a larger digital arms race among energy companies to produce fossil fuels more cheaply and efficiently.",https://www.wsj.com/articles/big-oils-new-favorite-toy-supercomputers-1523358000,0.0,
Oil Giant Shell Wants to Sell You Electricity,Sarah Kent,2018-03-29T09:46:15Z,The Wall Street Journal,British-Dutch oil-and-gas company Shell is on a spree of small but strategic acquisitions in an area oil firms have long avoided: the power sector.,https://www.wsj.com/articles/oil-giant-shell-wants-to-sell-you-electricity-1522315801,-0.412903,
Costs From Nassar Case Likely to Exceed $500 Million for Michigan State,Melissa Korn,2018-03-25T22:01:57Z,The Wall Street Journal,Financial fallout from sexual-abuse allegations against former U.S. national gymnastics team doctor Larry Nassar will likely soar well past half a billion dollars for Michigan State University.,https://www.wsj.com/articles/costs-from-nassar-case-likely-to-exceed-500-million-for-michigan-state-1521975601,0.0,
Eni Lifts Dividend After Years of Cuts,Sarah Kent,2018-03-16T12:53:27Z,The Wall Street Journal,"Italy’s state-backed oil giant Eni is raising its dividend, in a fresh sign that the international energy industry is bouncing back from a three-year downturn.",https://www.wsj.com/articles/eni-lifts-dividend-after-years-of-cuts-1521204702,0.0,
Getting the 'Oil' Out: Norway's Statoil Rebrands,Sarah Kent,2018-03-15T10:36:59Z,The Wall Street Journal,"Norway’s state-backed oil company Statoil is changing its name to Equinor, a move intended to show it is serious about a strategic shift to renewable-energy production.",https://www.wsj.com/articles/getting-the-oil-out-norways-statoil-rebrands-1521110218,0.0,
Top Chinese Oilman Is Struck Down and a $9 Billion Russian Deal Is at Risk,Wall Street Journal,2018-03-14T11:00:06Z,The Wall Street Journal,"Ye Jianming, who has ties to China’s military intelligence, shot from obscurity to spearhead multi-billion-dollar deals with leaders in Africa, Europe and Russia that won the blessing of President Xi Jinping.",https://www.wsj.com/articles/top-chinese-oilman-is-struck-down-and-a-9-billion-russian-deal-is-at-risk-1521025204,0.578318,
Mediterranean Gas Bounty Suddenly Seems Within Big Oil's Reach,Rory Jones,2018-03-13T19:19:20Z,The Wall Street Journal,"Big oil companies are moving into Mediterranean waters off Israel, Lebanon and Egypt after years of U.S. diplomacy helped ease a political logjam around giant Middle Eastern natural-gas discoveries.",https://www.wsj.com/articles/mediterranean-gas-bounty-suddenly-seems-within-big-oils-reach-1520967292,0.0,
GM CEO Pushes for Renewed Tax Breaks on Electric Vehicles,Mike Colias,2018-03-07T19:48:24Z,The Wall Street Journal,"General Motors Co. Chief Executive Mary Barra is pressing Washington for an expansion of electric-vehicle tax credits, a plea that would help the company and rivals like Tesla Inc. sell battery-powered cars in an era of cheap gasoline and skepticism about alt…",https://www.wsj.com/articles/gm-ceo-pushes-for-renewed-tax-breaks-on-electric-vehicles-1520450100,-0.762392,
Iran's Oil Potential Remains Untapped,Benoit Faucon,2018-03-07T12:08:07Z,The Wall Street Journal,International oil companies are staying on the sidelines as the Trump administration threatens to rip up the 2016 deal and reimpose oil sanctions lifted in exchange for limits on its atomic-power program.,https://www.wsj.com/articles/irans-oil-potential-remains-untapped-1520424485,-0.756272,
Oil Man T. Boone Pickens Is Becoming an ETF,Ryan Dezember,2018-02-27T17:48:45Z,The Wall Street Journal,"T. Boone Pickens--the wildcatter, corporate raider, cattle trader and investor--will become an exchange-traded fund on Wednesday.",https://blogs.wsj.com/moneybeat/2018/02/27/oil-man-t-boone-pickens-is-becoming-an-etf/,-0.81785,
