Title,Author,Publish Date,Publisher,Description,url,TitleScore
"Jack Ma's Ant Financial to Raise $9 Billion, Become World's Biggest Unicorn",Julie Steinberg,2018-04-10T10:17:39Z,The Wall Street Journal,"Ant Financial, carved out of Mr. Ma’s e-commerce giant Alibaba seven years ago, is preparing to raise $9 billion in a private funding round, up from a previous fundraising target of $5 billion.",https://www.wsj.com/articles/jack-mas-ant-financial-to-raise-9-billion-become-worlds-biggest-unicorn-1523353351,
Lawyer's Office Is Unusual Target,Jacob Gershman,2018-04-10T02:23:53Z,The Wall Street Journal,"The Manhattan law office of Michael Cohen, President Trump’s attorney, made for an unusual target for federal agents.",https://www.wsj.com/articles/lawyers-office-is-unusual-target-for-federal-agents-1523325235,
Why Should Markets Care About a Paltry $150 Billion Trade War?,James Mackintosh,2018-04-09T17:23:43Z,The Wall Street Journal,Sometimes it is worth asking stupid questions. Here is one: Why should we care about President Donald Trump’s threatened 25% tariffs on $150 billion in trade with China?,https://www.wsj.com/articles/why-should-markets-care-about-a-paltry-150-billion-trade-war-1523291651,
"Slammed by Trump, Amazon's Jeff Bezos Chooses the Silent Treatment",Laura Stevens,2018-04-09T14:09:48Z,The Wall Street Journal,"Over the past week, Amazon Chief Executive Jeff Bezos has been cast into the limelight thanks to a string of attacks by President Trump. Mr. Bezos’s response? The silent treatment.",https://www.wsj.com/articles/slammed-by-trump-amazons-jeff-bezos-chooses-the-silent-treatment-1523282400,
"WSJ Wealth Adviser Briefing: Argentine Real Estate, Bonds, Kitchen Islands",WSJ Staff,2018-04-09T10:30:19Z,The Wall Street Journal,"Following wild price swings for markets in the first quarter, Wall Street’s trading desks are poised to report one of their best three-month periods in years.",https://blogs.wsj.com/moneybeat/2018/04/09/wsj-wealth-adviser-briefing-argentine-real-estate-bonds-kitchen-islands/,
Americans Face Highest Pump Prices in Years...,Stephanie Yang,2018-04-08T14:07:37Z,The Wall Street Journal,Americans are spending more at the pump than they have in years. Prices could rise even higher just as drivers hit the road for family vacations.,https://www.wsj.com/articles/americans-face-highest-pump-prices-in-years-1523196000,
Deutsche Bank Faces Pressure to Address CEO Succession Plan,Jenny Strasburg,2018-04-08T01:46:46Z,The Wall Street Journal,"Deutsche Bank’s supervisory board faces turmoil and the prospect of losing its two co-heads of investment banking in coming weeks, ahead of a planned Sunday-evening meeting about the future of Chief Executive John Cryan.",https://www.wsj.com/articles/deutsche-bank-supervisory-board-to-discuss-ceo-succession-planning-1523086664,
Stocks Plummet Amid Rising US-China Trade Tensions - Wall Street Journal,Michael Wursthorn,2018-04-06T23:11:06Z,The Wall Street Journal,"Wall Street Journal Stocks Plummet Amid Rising US-China Trade Tensions Wall Street Journal Coils of steel wire were piled up this month at a depot on the outskirts of Shanghai, China. Photo: Qilai Shen/Bloomberg. By. Michael Wursthorn. Michael Wursthorn. The …",https://www.wsj.com/articles/stocks-plummet-amid-rising-u-s-china-trade-tensions-1523056208,
Stocks Drop on Growing Trade Concerns,Michael Wursthorn,2018-04-06T18:05:04Z,The Wall Street Journal,"U.S. stocks slid, as escalating tensions between the U.S. and China exacerbated investors’ fears of an all-out trade war between the world’s largest economies.",https://www.wsj.com/articles/trumps-new-tariff-threat-drags-down-stocks-1522981574,
China Ready to Strike Back 'Forcefully' at New U.S. Tariffs,Wall Street Journal,2018-04-06T13:04:38Z,The Wall Street Journal,"China is ready to strike back ‘forcefully’ at new U.S. tariffs and has in place detailed countermeasures, which don’t exclude any options, according to a commerce ministry spokesman.",https://www.wsj.com/articles/chinas-tariff-retaliation-will-require-some-imagination-1523015755,
Investors Brace for More Turbulence---and Look to Profit From It,Asjylyn Loder,2018-04-06T00:49:47Z,The Wall Street Journal,Recent stock-market swings have many investors scrambling to profit from the return of turbulence after a prolonged period of tranquil stock trading.,https://www.wsj.com/articles/investors-brace-for-more-turbulenceand-look-to-profit-from-it-1522970827,
New Goldman Sachs push: cash management for big firms,Liz Hoffman,2018-04-04T12:26:16Z,The Wall Street Journal,"Goldman Sachs, once the premiere Wall Street investment bank, is now trying to muscle into cash management",https://www.wsj.com/articles/goldmans-latest-push-managing-cash-for-big-companies-1522778718,
Spotify's Daniel Ek: From the Music Industry's Slayer to Its Savior,Maureen Farrell,2018-04-02T16:15:50Z,The Wall Street Journal,"As Spotify is about to go public, CEO Daniel Ek faces the daunting task of making his company profitable while fending off streaming competition from tech giants such as Apple, Alphabet’s Google and Amazon.com.",https://www.wsj.com/articles/spotify-ceo-daniel-ek-once-the-music-industrys-slayer-now-its-savior-1522661400,
