Title,Author,Publish Date,Publisher,Description,url
Why Courtney B. Vance Chose a Chevy Bolt Over a Tesla,Chris Kornelis,2018-04-10T18:53:05Z,The Wall Street Journal,"The comforting ‘Isle of Dogs’ narrator on riding a folding bike when cabs refused to pick him up, his 1,100-page Kindle reads and why he wishes Apple was a little less pushy.",https://www.wsj.com/articles/why-courtney-b-vance-chose-a-chevy-bolt-over-a-tesla-1523386384
Volkswagen's Potential CEO Change Won't Impact CFO - Analysts Say,Nina Trentmann,2018-04-10T18:37:44Z,The Wall Street Journal,"Finance chief “an anchor of stability” at VW, helped guide company through fallout from emissions scandal",https://www.wsj.com/articles/volkswagens-potential-ceo-change-wont-impact-cfo-analysts-say-1523385462
That Driver Is Jamming Traffic---He's Probably Filming a Campaign Ad,Reid J. Epstein,2018-04-09T16:15:58Z,The Wall Street Journal,"Videos of political candidates driving and gabbing have become a popular campaign gimmick, intended to show how they are just regular folks",https://www.wsj.com/articles/that-driver-is-jamming-traffiches-probably-filming-a-campaign-ad-1523289402
The Wall Street Journal: Wells Fargo looks at own auto-lending issues as regulatory pressure builds,"Emily Glazer, Gretchen Morgenson",2018-04-09T12:33:26Z,The Wall Street Journal,"Wells Fargo has expanded a review of auto products and services it finances as part of an effort to get ahead of heightened regulatory interest in the area, according to people familiar with the matter.",https://www.wsj.com/articles/wells-fargo-looks-further-under-the-hood-at-auto-lending-issues/
"In Age of Uber and Tesla, Local Dealerships Face Conundrum",Adrienne Roberts,2018-04-08T15:20:23Z,The Wall Street Journal,Small to mid-size car dealer groups are selling their businesses to auto-retail giants or investment firms at a robust clip even as auto sales remain strong.,https://www.wsj.com/articles/car-dealerships-face-conundrum-get-big-or-get-out-1523192401
"For Many Investors, the Tech Rout Is 'Nothing to Lose Sleep Over' - Wall Street Journal",Akane Otani,2018-04-08T11:05:11Z,The Wall Street Journal,"Wall Street Journal For Many Investors, the Tech Rout Is 'Nothing to Lose Sleep Over' Wall Street Journal based contractor Michael Chu, 34, shrugged off a $2,700 loss in his tech -heavy index-fund holdings, betting the technology selloff was “just one of thos…",https://www.wsj.com/articles/for-many-investors-the-tech-rout-is-nothing-to-lose-sleep-over-1523185201
"Small Tesla Contractor Sues Car Maker, Claiming Nonpayment",Tim Higgins,2018-04-06T18:57:35Z,The Wall Street Journal,"American Integrated Services has sued Tesla claiming it hasn’t been paid for work at a Fremont, Calif., assembly plant where the auto maker is now trying to ramp up production of the Model 3 sedan.",https://www.wsj.com/articles/small-tesla-contractor-sues-car-maker-claiming-nonpayment-1523041054
The Wall Street Journal: Trump picks Heidi King to lead National Highway Traffic Safety Administration,Mike Spector,2018-04-06T03:32:25Z,The Wall Street Journal,"President Donald Trump intends to nominate Heidi King to lead the National Highway Traffic Safety Administration, selecting the agency’s acting chief to grapple with driverless-car technologies and a massive recall of air bags that risk exploding.",https://www.wsj.com/articles/trump-taps-heidi-king-to-run-national-highway-traffic-safety-administration-1522982769
The Wall Street Journal: Brazil’s Supreme Court rejects former president Lula’s bid to avoid jail,"Samantha Pearson, Paulo Trevisani",2018-04-05T12:43:36Z,The Wall Street Journal,Brazil’s Supreme Court rejected former President Luiz Inácio Lula da Silva’s efforts to avoid jail in a watershed ruling early Thursday that is expected to land the populist leader behind bars within days and end his bid for re-election.,https://www.wsj.com/articles/brazils-supreme-court-rejects-former-presidents-bid-to-avoid-jail/
Solar Shines Less Brightly for U.S. Homeowners—Energy Journal:,Neanda Salvaterra,2018-04-05T11:06:04Z,The Wall Street Journal,Less U.S. Homeowners Opted For Solar Power Last Year,https://blogs.wsj.com/moneybeat/2018/04/05/energy-journal-solar-shines-less-brightly-for-u-s-homeowners-newsletter-draft/
